"","X","gene_id1","gene_name1","entry1","uid1","seq1_len","organism1","bit1","Neff1","NeffL1","aln1","gene_id2","gene_name2","entry2","uid2","seq2_len","organism2","bit2","Neff2","NeffL2","aln2","prefix","r_start_1","r_end_1","r_start_2","r_end_2","shared_domain","uid1_Pfam_domain","uid2_Pfam_domain","test","string","test2","pairwise_identity","X3d","complex_3d","3d","ecs_complete","ecs_anomaly"
"1704",1374747,"ENSG00000165632","TAF3","Q5VWG9","TAF3_HUMAN",929,"Homo sapiens (Human)",0.2,39.8,0.0428417653390743,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/TAF3_HUMAN_1-929_b0.2/align/TAF3_HUMAN_1-929_b0.2","ENSG00000125691","RPL23","P62829","RL23_HUMAN",140,"Homo sapiens (Human)",0.3,2224.1,15.8864285714286,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RL23_HUMAN_1-140_b0.3/align/RL23_HUMAN_1-140_b0.3","sepmito_01374747",1,929,1,140,NA,"PF07524;PF00628;","PF00238;","Q5VWG9 P62829",0,"P62829 Q5VWG9",5.4,NA,NA,NA,"Complete"," "
"2125",537120,"ENSG00000141447","OSBPL1A","Q9BXW6","OSBL1_HUMAN",950,"Homo sapiens (Human)",0.2,1524.6,1.60484210526316,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/OSBL1_HUMAN_1-950_b0.2/align/OSBL1_HUMAN_1-950_b0.2","ENSG00000154079","SDHAF4","Q5VUM1","SDHF4_HUMAN",108,"Homo sapiens (Human)",0.2,1614.1,14.9453703703704,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SDHF4_HUMAN_1-108_b0.2/align/SDHF4_HUMAN_1-108_b0.2","sepmito_00537120",1,950,1,108,NA,"PF12796;PF01237;","PF07896;","Q9BXW6 Q5VUM1",0,"Q5VUM1 Q9BXW6",4.7,NA,NA,NA,"Complete"," "
"1177",503472,"ENSG00000183513","COA5","Q86WW8","COA5_HUMAN",74,"Homo sapiens (Human)",0.2,1716.2,23.1918918918919,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/COA5_HUMAN_1-74_b0.2/align/COA5_HUMAN_1-74_b0.2","ENSG00000116771","AGMAT","Q9BSE5","SPEB_HUMAN",352,"Homo sapiens (Human)",0.2,12071.4,34.29375,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SPEB_HUMAN_1-352_b0.2/align/SPEB_HUMAN_1-352_b0.2","sepmito_00503472",1,74,1,352,NA,"PF10203;","PF00491;","Q86WW8 Q9BSE5",0,"Q9BSE5 Q86WW8",7.4,NA,NA,NA,"Complete"," "
"3868",209656,"ENSG00000151576","QTRTD1","Q9H974","QTRT2_HUMAN",415,"Homo sapiens (Human)",0.2,6536.7,15.7510843373494,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/QTRT2_HUMAN_1-415_b0.2/align/QTRT2_HUMAN_1-415_b0.2","ENSG00000102309","PIN4","Q9Y237","PIN4_HUMAN",131,"Homo sapiens (Human)",0.7,6102.7,46.5854961832061,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PIN4_HUMAN_1-131_b0.7/align/PIN4_HUMAN_1-131_b0.7","sepmito_00209656",1,415,1,131,NA,"PF01702;",NA,"Q9H974 Q9Y237",0,"Q9Y237 Q9H974",9.2,NA,NA,NA,"Complete"," "
"2175",986641,"ENSG00000225973","PIGBOS1","A0A0B4J2F0","PIOS1_HUMAN",54,"Homo sapiens (Human)",0.4,327.7,6.06851851851852,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PIOS1_HUMAN_1-54.0_b0.4/align/PIOS1_HUMAN_1-54.0_b0.4","ENSG00000213339","QTRT1","Q9BXR0","TGT_HUMAN",403,"Homo sapiens (Human)",0.2,6696.3,16.6161290322581,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/TGT_HUMAN_1-403_b0.2/align/TGT_HUMAN_1-403_b0.2","sepmito_00986641",1,54,1,403,NA,NA,"PF01702;","A0A0B4J2F0 Q9BXR0",0,"Q9BXR0 A0A0B4J2F0",5,NA,NA,NA,"Complete"," "
"1969",910011,"ENSG00000005059","MCUB","Q9NWR8","MCUB_HUMAN",336,"Homo sapiens (Human)",0.2,433.8,1.29107142857143,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MCUB_HUMAN_1-336_b0.2/align/MCUB_HUMAN_1-336_b0.2","ENSG00000156885","COX6A2","Q02221","CX6A2_HUMAN",97,"Homo sapiens (Human)",0.2,684.4,7.05567010309278,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CX6A2_HUMAN_1-97_b0.2/align/CX6A2_HUMAN_1-97_b0.2","sepmito_00910011",1,336,1,97,NA,"PF04678;","PF02046;","Q9NWR8 Q02221",0,"Q02221 Q9NWR8",9.7,NA,NA,NA,"Complete"," "
"2611",1215389,"ENSG00000136628","EPRS","P07814","SYEP_HUMAN",1512,"Homo sapiens (Human)",0.2,138.4,0.0915343915343915,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SYEP_HUMAN_1-1512_b0.2/align/SYEP_HUMAN_1-1512_b0.2","ENSG00000122696","SLC25A51","Q9H1U9","S2551_HUMAN",297,"Homo sapiens (Human)",0.2,16906.9,56.9255892255892,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/S2551_HUMAN_1-297_b0.2/align/S2551_HUMAN_1-297_b0.2","sepmito_01215389",1,1512,1,297,NA,"PF00043;PF03129;PF09180;PF00749;PF03950;PF00587;PF00458;","PF00153;","P07814 Q9H1U9",0,"Q9H1U9 P07814",6.5,NA,NA,NA,"Complete"," "
"2847",1214207,"ENSG00000164306","PRIMPOL","Q96LW4","PRIPO_HUMAN",560,"Homo sapiens (Human)",0.3,140.1,0.250178571428571,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PRIPO_HUMAN_1-560_b0.3/align/PRIPO_HUMAN_1-560_b0.3","ENSG00000174886","NDUFA11","Q86Y39","NDUAB_HUMAN",141,"Homo sapiens (Human)",0.2,2616.4,18.5560283687943,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NDUAB_HUMAN_1-141_b0.2/align/NDUAB_HUMAN_1-141_b0.2","sepmito_01214207",1,560,1,141,NA,"PF01896;",NA,"Q96LW4 Q86Y39",0,"Q86Y39 Q96LW4",8.2,NA,NA,NA,"Complete"," "
"1615",49113,"ENSG00000137411","VARS2","Q5ST30","SYVM_HUMAN",1063,"Homo sapiens (Human)",0.2,16783.7,15.7889934148636,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SYVM_HUMAN_1-1063_b0.2/align/SYVM_HUMAN_1-1063_b0.2","ENSG00000126432","PRDX5","P30044","PRDX5_HUMAN",214,"Homo sapiens (Human)",0.3,3854.4,18.011214953271,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PRDX5_HUMAN_1-214_b0.3/align/PRDX5_HUMAN_1-214_b0.3","sepmito_00049113",1,1063,1,214,NA,"PF08264;PF00133;","PF08534;","Q5ST30 P30044",0,"P30044 Q5ST30",7.5,NA,NA,NA,"Complete"," "
"2035",712822,"ENSG00000183617","MRPL54","Q6P161","RM54_HUMAN",138,"Homo sapiens (Human)",0.3,803,5.81884057971014,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RM54_HUMAN_1-138_b0.3/align/RM54_HUMAN_1-138_b0.3","ENSG00000144908","ALDH1L1","O75891","AL1L1_HUMAN",902,"Homo sapiens (Human)",0.2,40323.4,44.7044345898004,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/AL1L1_HUMAN_1-902_b0.2/align/AL1L1_HUMAN_1-902_b0.2","sepmito_00712822",1,138,1,902,NA,"PF08561;","PF00171;PF02911;PF00551;PF00550;","Q6P161 O75891",0,"O75891 Q6P161",6.2,NA,NA,NA,"Complete"," "
"289",476654,"ENSG00000185633","NDUFA4L2","Q9NRX3","NUA4L_HUMAN",87,"Homo sapiens (Human)",0.2,1918.5,22.051724137931,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NUA4L_HUMAN_1-87_b0.2/align/NUA4L_HUMAN_1-87_b0.2","ENSG00000104687","GSR","P00390","GSHR_HUMAN",522,"Homo sapiens (Human)",0.3,28803.6,55.1793103448276,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/GSHR_HUMAN_1-522_b0.3/align/GSHR_HUMAN_1-522_b0.3","sepmito_00476654",1,87,1,522,NA,"PF06522;","PF07992;PF02852;","Q9NRX3 P00390",0,"P00390 Q9NRX3",6.3,NA,NA,NA,"Complete"," "
"3439",1252534,"ENSG00000106246","PTCD1","O75127","PTCD1_HUMAN",700,"Homo sapiens (Human)",0.2,116.2,0.166,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PTCD1_HUMAN_1-700_b0.2/align/PTCD1_HUMAN_1-700_b0.2","ENSG00000065518","NDUFB4","O95168","NDUB4_HUMAN",129,"Homo sapiens (Human)",0.2,253,1.96124031007752,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NDUB4_HUMAN_1-129_b0.2/align/NDUB4_HUMAN_1-129_b0.2","sepmito_01252534",1,700,1,129,NA,"PF13812;PF17177;","PF07225;","O75127 O95168",0,"O95168 O75127",6.9,NA,NA,NA,"Complete"," "
"4153",459262,"ENSG00000169169","CPT1C","Q8TCG5","CPT1C_HUMAN",803,"Homo sapiens (Human)",0.2,2130.1,2.65267745952677,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CPT1C_HUMAN_1-803_b0.2/align/CPT1C_HUMAN_1-803_b0.2","ENSG00000238205","MPC1L","P0DKB6","MPC1L_HUMAN",136,"Homo sapiens (Human)",0.2,747.2,5.49411764705882,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MPC1L_HUMAN_1-136_b0.2/align/MPC1L_HUMAN_1-136_b0.2","sepmito_00459262",1,803,1,136,NA,"PF00755;PF16484;","PF03650;","Q8TCG5 P0DKB6",0,"P0DKB6 Q8TCG5",6.5,NA,NA,NA,"Complete"," "
"257",1388758,"ENSG00000125844","RRBP1","Q9P2E9","RRBP1_HUMAN",1410,"Homo sapiens (Human)",0.3,23.7,0.0168085106382979,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RRBP1_HUMAN_1-1410_b0.3/align/RRBP1_HUMAN_1-1410_b0.3","ENSG00000151093","OXSM","Q9NWU1","OXSM_HUMAN",459,"Homo sapiens (Human)",0.2,37493.1,81.6843137254902,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/OXSM_HUMAN_1-459_b0.2/align/OXSM_HUMAN_1-459_b0.2","sepmito_01388758",1,1410,1,459,NA,"PF05104;","PF00109;PF02801;","Q9P2E9 Q9NWU1",0,"Q9NWU1 Q9P2E9",9.4,NA,NA,NA,"Complete"," "
"2212",1087133,"ENSG00000164830","OXR1","Q8N573","OXR1_HUMAN",874,"Homo sapiens (Human)",0.3,218.1,0.24954233409611,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/OXR1_HUMAN_1-874_b0.3/align/OXR1_HUMAN_1-874_b0.3","ENSG00000178307","TMEM11","P17152","TMM11_HUMAN",192,"Homo sapiens (Human)",0.2,93,0.484375,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/TMM11_HUMAN_1-192_b0.2/align/TMM11_HUMAN_1-192_b0.2","sepmito_01087133",1,874,1,192,NA,"PF01476;PF07534;","PF14972;","Q8N573 P17152",0,"P17152 Q8N573",7.2,NA,NA,NA,"Complete"," "
