"","X","gene_id1","gene_name1","entry1","uid1","seq1_len","organism1","bit1","Neff1","NeffL1","aln1","gene_id2","gene_name2","entry2","uid2","seq2_len","organism2","bit2","Neff2","NeffL2","aln2","prefix","r_start_1","r_end_1","r_start_2","r_end_2","interface","complex_pdb","complex_chain1","complex_chain2","no_pairs","interface_architect","uid1_scl","uid2_Pfam","uid2_scl","uid1_Pfam","pairwise_identity","shared_domain","ecs_complete","ecs_anomaly","af3","test","iptm","ptm","ranking_score","diagonal","string","kurtosis","skewness","squared_skewness","max_ecs","R_squared","r","predict_diag","R2_predict_diag","r_predict_diag","na_contact_5A","ca_contact_15A"
"1",1,"ENSG00000179091","CYC1","P08574","CY1_HUMAN",325,"Homo sapiens (Human)",0.2,2327.9,7.16276923076923,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CY1_HUMAN_1-325_b0.2/align/CY1_HUMAN_1-325_b0.2","ENSG00000010256","UQCRC1","P31930","QCR1_HUMAN",480,"Homo sapiens (Human)",0.2,38106.2,79.3879166666667,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/QCR1_HUMAN_1-480_b0.2/align/QCR1_HUMAN_1-480_b0.2","sepmito_00434216",1,325,1,480,1,"1BCC","D","A",1,"1 : 1","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07143}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07143}.","IPR011249;IPR050361;IPR011765;IPR007863;","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07256}; Peripheral membrane protein {ECO:0000250|UniProtKB:P07256}; Matrix side {ECO:0000250|UniProtKB:P07256}.","IPR036909;IPR002326;IPR021157;",17.4,NA,"Complete"," ",NA,"sepmito_00434216_CY1_QCR1",NA,NA,NA,"FALSE",1,0.602632565884283,0.381882359311345,0.145834136353199,0.055349,"0.00947264039688039","-0.0973274904478708","FALSE","FALSE","FALSE",NA,NA
"2",2,"ENSG00000179091","CYC1","P08574","CY1_HUMAN",325,"Homo sapiens (Human)",0.2,2327.9,7.16276923076923,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CY1_HUMAN_1-325_b0.2/align/CY1_HUMAN_1-325_b0.2","ENSG00000105819","PMPCB","O75439","MPPB_HUMAN",489,"Homo sapiens (Human)",0.2,39052.9,79.8627811860941,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MPPB_HUMAN_1-489_b0.2/align/MPPB_HUMAN_1-489_b0.2","sepmito_00434210",1,325,1,489,1,"1BCC","D","A",1,"1 : 1","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07143}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07143}.","IPR011249;IPR050361;IPR011765;IPR001431;IPR007863;","SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:22354088}.","IPR036909;IPR002326;IPR021157;",17.6,NA,"Complete"," ",NA,"sepmito_00434210_CY1_MPPB",NA,NA,NA,"FALSE",1,0.434050333863651,0.359031594015734,0.128903685501479,0.05873,"0.000271880954137088","-0.0164888129996397","FALSE","FALSE","FALSE",NA,NA
"3",3,"ENSG00000169021","UQCRFS1","P47985","UCRI_HUMAN",274,"Homo sapiens (Human)",0.2,1951.2,7.12116788321168,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/UCRI_HUMAN_1-274_b0.2/align/UCRI_HUMAN_1-274_b0.2","ENSG00000179091","CYC1","P08574","CY1_HUMAN",325,"Homo sapiens (Human)",0.2,2327.9,7.16276923076923,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CY1_HUMAN_1-325_b0.2/align/CY1_HUMAN_1-325_b0.2","sepmito_00473119",1,274,1,325,1,"1BCC","E","D",1,"1 : 1","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:31883641}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q5ZLR5}.","IPR036909;IPR002326;IPR021157;","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07143}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07143}.","IPR037008;IPR011070;IPR017941;IPR036922;IPR014349;IPR005805;IPR004192;IPR006317;IPR015248;",17.2,NA,"Complete"," ","complete","sepmito_00473119_UCRI_CY1",0.65,0.64,0.83,"FALSE",1,2.05059480852977,0.504424574378907,0.254444151237341,0.189987,"0.189345973017878","-0.435139027229089","FALSE","FALSE","FALSE",NA,NA
"5",5,"ENSG00000179091","CYC1","P08574","CY1_HUMAN",325,"Homo sapiens (Human)",0.2,2327.9,7.16276923076923,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CY1_HUMAN_1-325_b0.2/align/CY1_HUMAN_1-325_b0.2","ENSG00000164405","UQCRQ","O14949","QCR8_HUMAN",82,"Homo sapiens (Human)",0.2,731,8.91463414634146,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/QCR8_HUMAN_1-82_b0.2/align/QCR8_HUMAN_1-82_b0.2","sepmito_00435060",1,325,1,82,1,"1BCC","D","G",1,"1 : 1","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07143}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07143}.","IPR004205;IPR036642;","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P08525}; Single-pass membrane protein {ECO:0000250|UniProtKB:P08525}.","IPR036909;IPR002326;IPR021157;",9.2,NA,"Complete"," ",NA,"sepmito_00435060_CY1_QCR8",NA,NA,NA,"FALSE",1,1.01213614688224,0.585236454728354,0.342501707943013,0.092133,"0.00421329679858639","-0.0649099129454538","FALSE","FALSE","FALSE",NA,NA
"6",6,"ENSG00000179091","CYC1","P08574","CY1_HUMAN",325,"Homo sapiens (Human)",0.2,2327.9,7.16276923076923,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CY1_HUMAN_1-325_b0.2/align/CY1_HUMAN_1-325_b0.2","ENSG00000184076","UQCR10","Q9UDW1","QCR9_HUMAN",63,"Homo sapiens (Human)",0.2,2415.6,38.3428571428571,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/QCR9_HUMAN_1-63_b0.2/align/QCR9_HUMAN_1-63_b0.2","sepmito_00434996",1,325,1,63,1,"1BCC","D","J",1,"1 : 1","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07143}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07143}.","IPR008027;IPR036656;","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P22289}; Single-pass membrane protein {ECO:0000250|UniProtKB:P22289}.","IPR036909;IPR002326;IPR021157;",8,NA,"Complete"," ",NA,"sepmito_00434996_CY1_QCR9",NA,NA,NA,"FALSE",1,0.839553735605812,0.507848482010553,0.257910080680423,0.068502,"0.00587093972300048","-0.076622057679238","FALSE","FALSE","FALSE",NA,NA
"7",7,"ENSG00000179091","CYC1","P08574","CY1_HUMAN",325,"Homo sapiens (Human)",0.2,2327.9,7.16276923076923,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CY1_HUMAN_1-325_b0.2/align/CY1_HUMAN_1-325_b0.2","ENSG00000173660","UQCRH","P07919","QCR6_HUMAN",91,"Homo sapiens (Human)",0.2,2184.1,24.0010989010989,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/QCR6_HUMAN_1-91_b0.2/align/QCR6_HUMAN_1-91_b0.2","sepmito_00435007",1,325,1,91,1,"1BCC","D","H",1,"1 : 1","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07143}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07143}.","IPR003422;IPR023184;IPR036811;","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P00127}; Peripheral membrane protein {ECO:0000250|UniProtKB:P00127}; Intermembrane side {ECO:0000250|UniProtKB:P00127}.","IPR036909;IPR002326;IPR021157;",8.9,NA,"Complete"," ",NA,"sepmito_00435007_CY1_QCR6",NA,NA,NA,"FALSE",1,2.68924197056354,0.805250487881623,0.648428348233592,0.122777,"0.00170564039856934","0.0412993994940524","FALSE","FALSE","FALSE",NA,NA
"19",19,"ENSG00000179091","CYC1","P08574","CY1_HUMAN",325,"Homo sapiens (Human)",0.2,2327.9,7.16276923076923,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CY1_HUMAN_1-325_b0.2/align/CY1_HUMAN_1-325_b0.2","ENSG00000112695","COX7A2","P14406","CX7A2_HUMAN",83,"Homo sapiens (Human)",0.2,676.6,8.15180722891566,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CX7A2_HUMAN_1-83_b0.2/align/CX7A2_HUMAN_1-83_b0.2","sepmito_00435062",1,325,1,83,1,"7O37","D","I",1,"1 : 1","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07143}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07143}.","IPR039297;IPR036539;IPR003177;","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Single-pass membrane protein {ECO:0000269|PubMed:30030519}.","IPR036909;IPR002326;IPR021157;",6.8,NA,"Complete"," ",NA,"sepmito_00435062_CY1_CX7A2",NA,NA,NA,"FALSE",1,1.30875440541433,0.720608159713955,0.519276119846332,0.050312,"0.0214096860444678","-0.146320490856434","FALSE","FALSE","FALSE",NA,NA
"23",23,"ENSG00000179091","CYC1","P08574","CY1_HUMAN",325,"Homo sapiens (Human)",0.2,2327.9,7.16276923076923,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CY1_HUMAN_1-325_b0.2/align/CY1_HUMAN_1-325_b0.2","ENSG00000161281","COX7A1","P24310","CX7A1_HUMAN",79,"Homo sapiens (Human)",0.2,731.7,9.2620253164557,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CX7A1_HUMAN_1-79_b0.2/align/CX7A1_HUMAN_1-79_b0.2","sepmito_00435059",1,325,1,79,1,"7O37","D","I",1,"1 : 1","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07143}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07143}.","IPR039297;IPR036539;IPR003177;","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07470}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07470}.","IPR036909;IPR002326;IPR021157;",8,NA,"Complete"," ",NA,"sepmito_00435059_CY1_CX7A1",NA,NA,NA,"FALSE",1,1.30452010876242,0.711148424470286,0.50573208162657,0.051791,"0.00319025818570246","-0.0564823705743878","FALSE","FALSE","FALSE",NA,NA
"27",27,"ENSG00000156467","UQCRB","P14927","QCR7_HUMAN",111,"Homo sapiens (Human)",0.2,579.9,5.22432432432432,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/QCR7_HUMAN_1-111_b0.2/align/QCR7_HUMAN_1-111_b0.2","ENSG00000179091","CYC1","P08574","CY1_HUMAN",325,"Homo sapiens (Human)",0.2,2327.9,7.16276923076923,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CY1_HUMAN_1-325_b0.2/align/CY1_HUMAN_1-325_b0.2","sepmito_00822268",1,111,1,325,1,"1BCC","F","D",1,"1 : 1","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P00128}; Peripheral membrane protein {ECO:0000250|UniProtKB:P00128}; Matrix side {ECO:0000250|UniProtKB:P00128}.","IPR036909;IPR002326;IPR021157;","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07143}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07143}.","IPR003197;IPR036544;",11.1,NA,"Complete"," ",NA,"sepmito_00822268_QCR7_CY1",NA,NA,NA,"FALSE",1,1.42835985279544,0.630329868874964,0.397315743595929,0.072923,"0.000509271417616933","0.0225670427308704","FALSE","FALSE","FALSE",NA,NA
"40",40,"ENSG00000179091","CYC1","P08574","CY1_HUMAN",325,"Homo sapiens (Human)",0.2,2327.9,7.16276923076923,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CY1_HUMAN_1-325_b0.2/align/CY1_HUMAN_1-325_b0.2","ENSG00000198727","MT-CYB","P00156","CYB_HUMAN",380,"Homo sapiens (Human)",0.2,4046.8,10.6494736842105,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CYB_HUMAN_1-380_b0.2/align/CYB_HUMAN_1-380_b0.2","sepmito_00434907",1,325,1,380,1,"1BCC","D","C",1,"1 : 1","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07143}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07143}.","IPR005798;IPR036150;IPR005797;IPR027387;IPR030689;IPR048260;IPR048259;IPR016174;","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P00157}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P00157}.","IPR036909;IPR002326;IPR021157;",15.4,NA,"Complete"," ","complete","sepmito_00434907_CY1_CYB",0.86,0.82,0.93,"FALSE",1,26.0861402399203,1.62777817291223,2.64966178020949,0.350972,"0.00897925550047387","0.0947589336182814","FALSE","FALSE","FALSE",NA,NA
